entidad,relacion,objetos,pregunta,respuestas,obtenido_de
Manuel de Regla Mota,Cargo,['presidente de la República Dominicana'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel de Regla Mota?,['presidente de la República Dominicana'],['republica_dominicana']
Manuel Álvarez Zamora,Cargo,['Gobernador de Colima'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Manuel Álvarez Zamora?,['Gobernador de Colima'],['mexico']
Marcelo Santos,Cargo,['diputado Nacional del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marcelo Santos?,['diputado Nacional del Ecuador'],['ecuador']
Marcelo Torcuato de Alvear,Cargo,"['presidente de la Nación Argentina', 'diputado de Argentina']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Marcelo Torcuato de Alvear?,"['presidente de la Nación Argentina', 'diputado de Argentina']","['argentina', 'argentina']"
Marcia González Aguiluz,Cargo,['ministro de Justicia'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marcia González Aguiluz?,['ministro de Justicia'],['costa_rica']
Marcial Humberto Guzmán Saballos,Cargo,['obispo de Juigalpa'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marcial Humberto Guzmán Saballos?,['obispo de Juigalpa'],['nicaragua']
Marco Antonio Andino,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marco Antonio Andino?,['diputado del Congreso Nacional de Honduras'],['honduras']
Marco Arana,Cargo,['congresista del Perú'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marco Arana?,['congresista del Perú'],['peru']
Marco Aurelio Robles,Cargo,"['Presidente de Panamá', 'ambassador of Panama to the United Kingdom']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Marco Aurelio Robles?,"['Presidente de Panamá', 'ambassador of Panama to the United Kingdom']","['panama', 'panama']"
Marco Flores Troncoso,Cargo,['Ministro de Finanzas de Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marco Flores Troncoso?,['Ministro de Finanzas de Ecuador'],['ecuador']
Marco Proaño Maya,Cargo,['diputado Nacional del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marco Proaño Maya?,['diputado Nacional del Ecuador'],['ecuador']
Marcos Antonio Morínigo,Cargo,['presidente de Paraguay'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marcos Antonio Morínigo?,['presidente de Paraguay'],['paraguay']
Marcos Aurelio Pérez Caicedo,Cargo,"['obispo titular', 'obispo diocesano', 'administrador apostólico', 'arzobispo de Cuenca', 'obispo auxiliar']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Marcos Aurelio Pérez Caicedo?,"['obispo titular', 'obispo diocesano', 'administrador apostólico', 'arzobispo de Cuenca', 'obispo auxiliar']","['ecuador', 'ecuador', 'ecuador', 'ecuador', 'ecuador']"
Marcos G. McGrath,Cargo,"['obispo auxiliar', 'obispo titular', 'Arzobispo de Panamá', 'obispo de Santiago de Veraguas']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Marcos G. McGrath?,"['obispo auxiliar', 'obispo titular', 'Arzobispo de Panamá', 'obispo de Santiago de Veraguas']","['panama', 'panama', 'panama', 'panama']"
Marcos P. Jimenez,Cargo,['presidente de Venezuela'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marcos P. Jimenez?,['presidente de Venezuela'],['venezuela']
Margarita Penón Góngora,Cargo,['primera dama o primer caballero de Costa Rica'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Margarita Penón Góngora?,['primera dama o primer caballero de Costa Rica'],['costa_rica']
Maria Aracely Leiva,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Maria Aracely Leiva?,['diputado del Congreso Nacional de Honduras'],['honduras']
Mariano Egaña,Cargo,"['diputado de Chile', 'senador de Chile', 'ministro de Hacienda de Chile']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mariano Egaña?,"['diputado de Chile', 'senador de Chile', 'ministro de Hacienda de Chile']","['chile', 'chile', 'chile']"
Mariano Gálvez,Cargo,"['jefe supremo del Estado de Guatemala', 'Presidente del Congreso de la República Federal de Centro América']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mariano Gálvez?,"['jefe supremo del Estado de Guatemala', 'Presidente del Congreso de la República Federal de Centro América']","['guatemala', 'guatemala']"
Mariano José Parra Sandoval,Cargo,"['obispo diocesano', 'administrador apostólico', 'arzobispo de Coro']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mariano José Parra Sandoval?,"['obispo diocesano', 'administrador apostólico', 'arzobispo de Coro']","['venezuela', 'venezuela', 'venezuela']"
Mariano Ospina Pérez,Cargo,['Presidente de Colombia'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mariano Ospina Pérez?,['Presidente de Colombia'],['colombia']
Mariano Paredes y Arrillaga,Cargo,['presidente de México'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mariano Paredes y Arrillaga?,['presidente de México'],['mexico']
Mariano Prado,Cargo,"['jefe supremo del Estado de El Salvador', 'vicepresidente de la República Federal de Centro América']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mariano Prado?,"['jefe supremo del Estado de El Salvador', 'vicepresidente de la República Federal de Centro América']","['nicaragua', 'nicaragua']"
Mariano Rivera Paz,Cargo,"['presidente de Guatemala', 'jefe supremo del Estado de Guatemala']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mariano Rivera Paz?,"['presidente de Guatemala', 'jefe supremo del Estado de Guatemala']","['guatemala', 'guatemala']"
Mariano Suárez Veintimilla,Cargo,['diputado Nacional del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mariano Suárez Veintimilla?,['diputado Nacional del Ecuador'],['ecuador']
Mario Alberto Molina Palma,Cargo,"['obispo diocesano', 'arzobispo metropolitano católico romano']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Alberto Molina Palma?,"['obispo diocesano', 'arzobispo metropolitano católico romano']","['panama', 'panama']"
Mario Alexander Barahona Martínez,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Alexander Barahona Martínez?,['diputado del Congreso Nacional de Honduras'],['honduras']
Mario Alonso Pérez López,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Alonso Pérez López?,['diputado del Congreso Nacional de Honduras'],['honduras']
Mario Benjamín Menéndez,Cargo,"['segundo comandante', 'Gobernador militar de las Islas Malvinas, Georgias del Sur y Sandwich del Sur', 'jefe de operaciones']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Benjamín Menéndez?,"['segundo comandante', 'Gobernador militar de las Islas Malvinas, Georgias del Sur y Sandwich del Sur', 'jefe de operaciones']","['argentina', 'argentina', 'argentina']"
Mario Búcaro,Cargo,"['Ministro de Relaciones Exteriores de Guatemala', 'Embajador de Guatemala en México']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Búcaro?,"['Ministro de Relaciones Exteriores de Guatemala', 'Embajador de Guatemala en México']","['guatemala', 'guatemala']"
Mario Canahuati,Cargo,"['Ministro de Relaciones Exteriores', 'ambassador of Honduras to the United States of America']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Canahuati?,"['Ministro de Relaciones Exteriores', 'ambassador of Honduras to the United States of America']","['honduras', 'honduras']"
Mario Conejo Maldonado,Cargo,['Alcalde'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Conejo Maldonado?,['Alcalde'],['ecuador']
Mario Cornejo,Cargo,"['obispo auxiliar', 'obispo titular']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Cornejo?,"['obispo auxiliar', 'obispo titular']","['peru', 'peru']"
Mario Edgardo Segura,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Edgardo Segura?,['diputado del Congreso Nacional de Honduras'],['honduras']
Mario Enrique Ríos Montt,Cargo,"['obispo auxiliar', 'obispo titular', 'administrador apostólico']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Enrique Ríos Montt?,"['obispo auxiliar', 'obispo titular', 'administrador apostólico']","['guatemala', 'guatemala', 'guatemala']"
"Mario García Menocal,",Cargo,['Presidente de Cuba'],"Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario García Menocal,?",['Presidente de Cuba'],['cuba']
Mario Monteforte Toledo,Cargo,"['Presidente del Congreso de la República de Guatemala', 'Diputado del Congreso de Guatemala']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Monteforte Toledo?,"['Presidente del Congreso de la República de Guatemala', 'Diputado del Congreso de Guatemala']","['guatemala', 'guatemala']"
Mario Méndez Montenegro,Cargo,['Alcalde de Guatemala'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Méndez Montenegro?,['Alcalde de Guatemala'],['guatemala']
Mario Peña Angulo,Cargo,['congresista del Perú'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Peña Angulo?,['congresista del Perú'],['peru']
Mario Redondo Poveda,Cargo,['President of the Legislative Assembly of Costa Rica'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mario Redondo Poveda?,['President of the Legislative Assembly of Costa Rica'],['costa_rica']
Marisol Argueta de Barillas,Cargo,['Ministro de Relaciones Exteriores de El Salvador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marisol Argueta de Barillas?,['Ministro de Relaciones Exteriores de El Salvador'],['el_salvador']
Mark Sanford,Cargo,"['gobernador de Carolina del Sur', 'miembro de la Cámara de Representantes de los Estados Unidos']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mark Sanford?,"['gobernador de Carolina del Sur', 'miembro de la Cámara de Representantes de los Estados Unidos']","['usa', 'usa']"
Marlon Guillermo Lara Orellana,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marlon Guillermo Lara Orellana?,['diputado del Congreso Nacional de Honduras'],['honduras']
Martha Concepción Figueroa,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Martha Concepción Figueroa?,['diputado del Congreso Nacional de Honduras'],['honduras']
Martín Luis Guzmán,Cargo,"['diputado de México', 'senador de México']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Martín Luis Guzmán?,"['diputado de México', 'senador de México']","['mexico', 'mexico']"
Martín Palermo,Cargo,['embajador de buena voluntad de Unicef'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Martín Palermo?,['embajador de buena voluntad de Unicef'],['argentina']
Martín Rodríguez,Cargo,['Gobernador de la Provincia de Buenos Aires'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Martín Rodríguez?,['Gobernador de la Provincia de Buenos Aires'],['argentina']
Martín Torrijos Espino,Cargo,['Presidente de Panamá'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Martín Torrijos Espino?,['Presidente de Panamá'],['panama']
Martín Tovar Ponte,Cargo,['diputado de Venezuela'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Martín Tovar Ponte?,['diputado de Venezuela'],['venezuela']
Marvin Ponce,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marvin Ponce?,['diputado del Congreso Nacional de Honduras'],['honduras']
Marvin Rodríguez Cordero,Cargo,['Vicepresidente de Costa Rica'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Marvin Rodríguez Cordero?,['Vicepresidente de Costa Rica'],['costa_rica']
Mary Elizabeth Flores,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mary Elizabeth Flores?,['diputado del Congreso Nacional de Honduras'],['honduras']
Mary Flake de Flores,Cargo,['Primera Dama de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mary Flake de Flores?,['Primera Dama de Honduras'],['honduras']
María Alejandra Muñoz,Cargo,['Vicepresidente del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa María Alejandra Muñoz?,['Vicepresidente del Ecuador'],['ecuador']
María Amelia Coronel Kinloch,Cargo,['Minister of the Interior'],Contesta la siguiente pregunta: ¿Qué cargo ocupa María Amelia Coronel Kinloch?,['Minister of the Interior'],['nicaragua']
María Antonieta Guillén Vásquez,Cargo,['vicepresidente'],Contesta la siguiente pregunta: ¿Qué cargo ocupa María Antonieta Guillén Vásquez?,['vicepresidente'],['honduras']
María Caridad Colón,Cargo,['member of the International Olympic Committee'],Contesta la siguiente pregunta: ¿Qué cargo ocupa María Caridad Colón?,['member of the International Olympic Committee'],['cuba']
María Cristina Kronfle,Cargo,['diputado Nacional del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa María Cristina Kronfle?,['diputado Nacional del Ecuador'],['ecuador']
María Estela Martínez de Perón,Cargo,"['vicepresidente de la Nación Argentina', 'Primera dama de la Nación Argentina', 'Presidencia de la Nación']",Contesta la siguiente pregunta: ¿Qué cargo ocupa María Estela Martínez de Perón?,"['vicepresidente de la Nación Argentina', 'Primera dama de la Nación Argentina', 'Presidencia de la Nación']","['argentina', 'argentina', 'argentina']"
María Eugenia Brizuela de Ávila,Cargo,['Ministro de Relaciones Exteriores de El Salvador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa María Eugenia Brizuela de Ávila?,['Ministro de Relaciones Exteriores de El Salvador'],['el_salvador']
María Fernanda Espinosa,Cargo,"['Presidente de la Asamblea General de las Naciones Unidas', 'representante permanente en la ONU', 'Canciller del Ecuador', 'Ministro de Defensa Nacional']",Contesta la siguiente pregunta: ¿Qué cargo ocupa María Fernanda Espinosa?,"['Presidente de la Asamblea General de las Naciones Unidas', 'representante permanente en la ONU', 'Canciller del Ecuador', 'Ministro de Defensa Nacional']","['ecuador', 'ecuador', 'ecuador', 'ecuador']"
María Isabel Allende,Cargo,"['presidente de la Cámara de Diputadas y Diputados de Chile', 'presidente del Senado de Chile', 'diputado de Chile', 'senador de Chile']",Contesta la siguiente pregunta: ¿Qué cargo ocupa María Isabel Allende?,"['presidente de la Cámara de Diputadas y Diputados de Chile', 'presidente del Senado de Chile', 'diputado de Chile', 'senador de Chile']","['chile', 'chile', 'chile', 'chile']"
María Isabel Rodríguez,Cargo,"['ministro de salud', 'Diputado']",Contesta la siguiente pregunta: ¿Qué cargo ocupa María Isabel Rodríguez?,"['ministro de salud', 'Diputado']","['el_salvador', 'el_salvador']"
María Isabel Salvador,Cargo,['Canciller del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa María Isabel Salvador?,['Canciller del Ecuador'],['ecuador']
María Paula Romo,Cargo,['diputado Nacional del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa María Paula Romo?,['diputado Nacional del Ecuador'],['ecuador']
María Rojo,Cargo,"['diputado de México', 'senador de México']",Contesta la siguiente pregunta: ¿Qué cargo ocupa María Rojo?,"['diputado de México', 'senador de México']","['mexico', 'mexico']"
María Sumire,Cargo,['congresista del Perú'],Contesta la siguiente pregunta: ¿Qué cargo ocupa María Sumire?,['congresista del Perú'],['peru']
María Teresa Castillo,Cargo,['diputado de Venezuela'],Contesta la siguiente pregunta: ¿Qué cargo ocupa María Teresa Castillo?,['diputado de Venezuela'],['venezuela']
María Teresa Chávez,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa María Teresa Chávez?,['diputado del Congreso Nacional de Honduras'],['honduras']
María Teresa de Luxemburgo,Cargo,"['Gran Duquesa Consorte de Luxemburgo', 'Embajadores de las Naciones Unidas']",Contesta la siguiente pregunta: ¿Qué cargo ocupa María Teresa de Luxemburgo?,"['Gran Duquesa Consorte de Luxemburgo', 'Embajadores de las Naciones Unidas']","['cuba', 'cuba']"
María de la Ossa de Amador,Cargo,['Primera dama de Panamá'],Contesta la siguiente pregunta: ¿Qué cargo ocupa María de la Ossa de Amador?,['Primera dama de Panamá'],['panama']
María Ángela Holguín,Cargo,"['Canciller de Colombia', 'embajador de Colombia en Venezuela']",Contesta la siguiente pregunta: ¿Qué cargo ocupa María Ángela Holguín?,"['Canciller de Colombia', 'embajador de Colombia en Venezuela']","['colombia', 'colombia']"
Matías Funes,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Matías Funes?,['diputado del Congreso Nacional de Honduras'],['honduras']
Maureen Clarke,Cargo,['Member of the Legislative Assembly of Costa Rica'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Maureen Clarke?,['Member of the Legislative Assembly of Costa Rica'],['costa_rica']
Mauricio Funes,Cargo,['presidente de El Salvador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Mauricio Funes?,['presidente de El Salvador'],['el_salvador']
Mauricio Rodas,Cargo,"['Alcalde Metropolitano de Quito', '2016-2019 UCLG Co-President']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mauricio Rodas?,"['Alcalde Metropolitano de Quito', '2016-2019 UCLG Co-President']","['ecuador', 'ecuador']"
Mel Martínez,Cargo,"['Secretario de Vivienda y Desarrollo Urbano de los Estados Unidos', 'senador de los Estados Unidos', 'Mayor of Orange County, Florida']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Mel Martínez?,"['Secretario de Vivienda y Desarrollo Urbano de los Estados Unidos', 'senador de los Estados Unidos', 'Mayor of Orange County, Florida']","['cuba', 'cuba', 'cuba']"
